start_times,daily_obs_effs,daily_total_times,daily_survey_times
2024-11-14 00:28:00.000,31.61485972382914,19403.98658999861,14233.812957924354
2024-11-15 00:02:00.000,31.597528275494497,19405.946107975076,14241.620296262163
2024-11-16 01:16:00.000,31.578865030529503,19408.05777185486,14250.03715507044
2024-11-17 00:50:00.000,32.59226801163334,19380.041933531833,13806.95568161685
2024-11-18 00:22:00.000,31.543741419574804,19412.03524485259,14265.904415534795
2024-11-19 01:36:00.000,32.20290277686832,19474.184775292717,13973.8955558764
2024-11-20 01:10:00.000,32.53387705535792,19446.203511401192,13831.73604653094
2024-11-21 00:44:00.000,32.514673604818725,19388.233034567907,13839.90519078467
2024-11-22 00:16:00.000,32.14668378439216,19480.2706932559,13998.333483420885
2024-11-23 01:32:00.000,32.47465421800563,19392.46906936518,13856.960476903143
2024-11-24 01:04:00.000,32.45524454384191,19454.527715583004,13865.247553199642
2024-11-25 00:38:00.000,32.43572893611685,19396.5985313314,13873.589857847455
2024-11-26 00:12:00.000,32.416144412244456,19338.678842598398,13881.971719931715
2024-11-27 01:26:00.000,32.395102954078766,19400.916725998224,13890.98842000568
2024-11-28 00:58:00.000,32.375419555323006,19463.01333691184,13899.433773546674
2024-11-29 00:32:00.000,32.355643505198174,19405.12100902515,13907.929228102175
2024-11-30 00:06:00.000,32.335811580368734,19347.237003478796,13916.459120920834
2024-12-01 01:20:00.000,31.976546649473438,19675.258107177695,14072.814207640844
2024-12-02 00:52:00.000,32.294615995902184,19471.64147540573,13934.211202793056
2024-12-03 00:26:00.000,32.27463397023324,19413.78097274834,13942.838218243873
2024-12-04 01:40:00.000,31.910126010024236,19626.079773369638,14102.106643472267
2024-12-05 01:14:00.000,31.8958701766334,19684.417802757114,14108.409568636429
